advisee,advisor,possibility,collaborate_times,start_year
Gordon Wyeth,David Collins,0.856012,2,2000,2000,2
Martin Peters,Christopher Brink,0.861925,6,2012,2012,2,2013,2,2014,2
Alexander E. Fiterman,Vadim G. Timkovsky,0.947492,1,2001,2001,1
Hong-E Ren,Yuanyuan Jiao,0.976367,1,2011,2011,1
Nur Azzah Abu Bakar,Jennifer Sampson,0.684054,1,2009,2009,1
Diethard Mattanovich,Alexandra Graf,0.922508,1,2010,2010,1
Rhan Ha,Hojung Cha,0.902503,2,1999,1999,1,2000,1
Benjamin Huhle,Achim J. Lilienthal,0.928809,1,2008,2008,1
Lina Paskeviciute,Albertas Caplinskas,0.726368,1,2008,2008,1
Paolo Mazzoni,Monica Bianchini,0.684054,1,2003,2003,1
Carlos Cernuda,Jürgen Kasberger,0.792455,2,2012,2012,1,2013,1
Yifan Ge,Yinan Jing,0.922508,1,2011,2011,1
Boguslaw Cyganek,Jan Borgosz,0.872541,14,2001,2001,2,2002,1,2003,6,2004,5
Chaochen Zhou,Dang Van Hung,0.806085,1,1995,1995,1
Kalyan Kidambi,Ravi Sankar,0.917101,2,1995,1995,1,1996,1
J. M. Van Kimmenade,P. H. van Knippenberg,0.761561,1,1983,1983,1
Ole Lehrmann Madsen,Peter Kornerup,0.517998,1,1980,1980,1
Iain G. Johnston,Nick S. Jones,0.961934,1,2012,2012,1
YoHan Park,YoungHo Park,0.977532,3,2010,2010,1,2013,2
Maurizio Iocco,Arrigo Palumbo,0.684054,2,2009,2009,1,2014,1
Neeraj Deshmukh,Joseph Picone,0.530101,4,1996,1996,1,1997,1,1998,1,1999,1
Xianfeng Yang,Qi Tian,0.947492,6,2004,2004,1,2005,2,2007,2,2010,1
Zhen Xue,Liangliang Zhang,0.929106,1,2011,2011,1
Xiangru Chen,Yong Yu,0.928809,1,2011,2011,1
Isabelle Augenstein,Anna Lisa Gentile,0.921425,6,2013,2013,6
Raymond Couture,Pierre L'Ecuyer,0.943888,4,1993,1993,2,1995,1,1998,1
Bijaya Laxmi Panigrahi,Gnaneshwar Nelakanti,0.989288,5,2010,2010,1,2011,2,2012,1,2013,1
