advisee,startyear, collaborate_times
Seung Heon Han,2008,3,2008,1,2009,2
C. Lingeshwaraa,2011,1,2011,1
Sylvie Philipp-Foliguet,2001,34,2001,3,2002,4,2003,3,2004,2,2005,2,2006,5,2007,6,2008,9
Randall Svancara,2008,1,2008,1
Martin Tanler,2007,2,2007,1,2008,1
Tzai-Wen Chiu,2004,4,2004,1,2008,1,2010,1,2011,1
Guochu Chen,2005,6,2005,2,2006,1,2009,2,2010,1
Ean Teng Khor,2011,3,2011,1,2015,2
Robert M. Nishikawa,1994,5,1994,1,1995,1,1998,1,2000,1,2001,1
Celia Hung,2004,1,2004,1
Lingzhi Cao,2004,11,2004,4,2005,4,2006,1,2007,2
C. Krishna Mohan,2004,6,2004,1,2007,1,2008,1,2010,2,2011,1
Nancy H. Puttkammer,2008,2,2008,1,2012,1
Sharmistha Maitra,2010,1,2010,1
Guangdou Liu,2012,1,2012,1
Nir Kfir,2009,1,2009,1
W. Justin Barnes,2008,4,2008,2,2009,1,2013,1
Melaina Haisfield,1999,1,1999,1
Michele Volpi,2010,21,2010,1,2011,2,2012,4,2013,7,2014,4,2015,2,2016,1
U. H. Thygesen,2011,1,2011,1
S.-S. Joo,2000,1,2000,1
Gordon A. Manson,1986,8,1986,1,1988,2,1990,1,1991,4
Keiichi Takagaki,2001,1,2001,1
Hong-Xun Lin,2012,1,2012,1
Karla F. Machado,1999,1,1999,1
Joachim Klink,2001,2,2001,2
Daniel Elmhurst,2009,1,2009,1
Biliana Alexandrova-Kabadjova,2007,10,2007,1,2008,1,2009,1,2010,3,2011,2,2013,1,2014,1
Chng Chin Soon,2003,1,2003,1
Obed Duardo,1992,2,1992,1,1999,1
Ianus Keller,2001,5,2001,1,2004,3,2006,1
Lih-Ching Chou,2010,2,2010,1,2012,1
Henk Nijmeijer,1985,8,1985,1,1986,2,1990,3,1992,2
Peter Haslinger,2005,5,2005,1,2008,1,2011,1,2012,2
Anne Vilain,1997,4,1997,1,1998,2,1999,1
Guy Royse,2011,1,2011,1
Maosheng Ye,2008,1,2008,1
Scott W. Brown,2002,3,2002,3
R. Grabowski,1985,1,1985,1
Michael Fingerhut,1999,2,1999,1,2001,1
Jesus Carmona,2006,4,2006,2,2008,1,2009,1
Nitin Lahane,2002,1,2002,1
Tahir Cader,2012,1,2012,1
Cuixiang Zhang,2009,1,2009,1
C. H. Sing,2007,1,2007,1
Xiao-bo Yue,2010,1,2010,1
Linpeng Jin,2011,2,2011,1,2013,1
Yuhei Onishi,2008,1,2008,1
Matei T. Ciocarlie,2005,21,2005,1,2007,2,2008,2,2009,5,2010,3,2011,2,2012,6
David Lake,2008,5,2008,1,2010,1,2012,1,2013,1,2015,1
Kuen-Long Leu,1990,1,1990,1
Xenia Hertzenberg,2007,1,2007,1
Lauren M. Schmitt,2011,1,2011,1
K.-J. Cho,2007,1,2007,1
Christel Hohenegger,2007,2,2007,1,2014,1
Ofir B. Degani,2009,5,2009,1,2011,1,2012,2,2016,1
Kuen-Long Lee,1990,1,1990,1
Eduardo Sudol Forbici,1998,1,1998,1
Danny Davies,2005,1,2005,1
Ding Liao,2008,2,2008,1,2013,1
Anisoara Nica,1995,12,1995,1,1997,4,1998,3,1999,3,2002,1
Jodi C. Williams,2002,1,2002,1
Feng Pen,2011,1,2011,1
Musa Mohd Mokji,2004,7,2004,1,2007,1,2008,1,2009,1,2010,2,2011,1
Geliztle Alejandra Parra Escamilla,2012,1,2012,1
Shenjun Qi,2009,1,2009,1
Shenshen Li,2009,12,2009,7,2010,2,2012,2,2013,1
Adrian Colbrook,1990,15,1990,2,1991,1,1992,4,1993,1,1994,2,1995,1,1996,2,1997,2
Rares Florin Boian,2008,1,2008,1
Nicola Greggio,2008,14,2008,3,2010,5,2011,3,2012,1,2013,1,2014,1
Seung-Hyun Jung,2006,4,2006,2,2009,1,2011,1
Young-Moo Na,2003,1,2003,1
Yinge Han,2007,1,2007,1
Laurence C. Jayet Bray,2011,4,2011,1,2012,1,2013,2
Yanhui Lai,2008,3,2008,1,2010,1,2011,1
James Allan,1992,30,1992,2,1993,3,1994,4,1995,4,1996,3,1997,4,1998,8,1999,2
Oscar Serrano Serrano,2006,1,2006,1
Jan Blom,2000,11,2000,1,2001,1,2002,1,2003,1,2004,2,2005,3,2006,1,2007,1
S. Mitsuishi,1995,1,1995,1
Liu Renfen,2007,1,2007,1
Richard Samade,2004,3,2004,1,2007,1,2008,1
Biswajit Das,2006,6,2006,1,2011,3,2013,2
